# run	81821033
# key	spec	kept	seed	order	x	killer	symm	diff
s396	2x3xdu	1	81821033-396	6	1	0	1	5
s397	2x3xr4	1	81821033-397	6	1	0	2	0
s398	2x3xr4db	1	81821033-398	6	1	0	2	1
s399	2x3xr4di	1	81821033-399	6	1	0	2	2
s400	2x3xr4da	1	81821033-400	6	1	0	2	3
s401	2x3xr4de	1	81821033-401	6	1	0	2	4
s402	2x3xr4du	1	81821033-402	6	1	0	2	5
s403	2x3xm2	1	81821033-403	6	1	0	3	0
s404	2x3xm2db	1	81821033-404	6	1	0	3	1
s405	2x3xm2di	1	81821033-405	6	1	0	3	2
s406	2x3xm2da	1	81821033-406	6	1	0	3	3
s407	2x3xm2de	1	81821033-407	6	1	0	3	4
s408	2x3xm2du	1	81821033-408	6	1	0	3	5
s409	2x3xmd2	1	81821033-409	6	1	0	4	0
s410	2x3xmd2db	1	81821033-410	6	1	0	4	1
s411	2x3xmd2di	1	81821033-411	6	1	0	4	2
s412	2x3xmd2da	1	81821033-412	6	1	0	4	3
s413	2x3xmd2de	1	81821033-413	6	1	0	4	4
s414	2x3xmd2du	1	81821033-414	6	1	0	4	5
s415	2x3xm4	1	81821033-415	6	1	0	5	0
s416	2x3xm4db	1	81821033-416	6	1	0	5	1
s417	2x3xm4di	1	81821033-417	6	1	0	5	2
s418	2x3xm4da	1	81821033-418	6	1	0	5	3
s419	2x3xm4de	1	81821033-419	6	1	0	5	4
s420	2x3xm4du	1	81821033-420	6	1	0	5	5
s421	2x3xmd4	1	81821033-421	6	1	0	6	0
s422	2x3xmd4db	1	81821033-422	6	1	0	6	1
s423	2x3xmd4di	1	81821033-423	6	1	0	6	2
s424	2x3xmd4da	1	81821033-424	6	1	0	6	3
s425	2x3xmd4de	1	81821033-425	6	1	0	6	4
s426	2x3xmd4du	1	81821033-426	6	1	0	6	5
s427	2x3xm8	1	81821033-427	6	1	0	7	0
s428	2x3xm8db	1	81821033-428	6	1	0	7	1
s429	2x3xm8di	1	81821033-429	6	1	0	7	2
s430	2x3xm8da	1	81821033-430	6	1	0	7	3
s431	2x3xm8de	1	81821033-431	6	1	0	7	4
s432	2x3xm8du	1	81821033-432	6	1	0	7	5
s433	2x3xka	1	81821033-433	6	1	1	0	0
s434	2x3xkadb	1	81821033-434	6	1	1	0	1
s435	2x3xkadi	1	81821033-435	6	1	1	0	2
s436	2x3xkada	1	81821033-436	6	1	1	0	3
s437	2x3xkade	1	81821033-437	6	1	1	0	4
s438	2x3xkadu	1	81821033-438	6	1	1	0	5
s439	2x3xk	0	81821033-439	6	1	1	1	0
s440	2x3xkdb	0	81821033-440	6	1	1	1	1
s441	2x3xkdi	0	81821033-441	6	1	1	1	2
s442	2x3xkda	0	81821033-442	6	1	1	1	3
s443	2x3xkde	0	81821033-443	6	1	1	1	4
s444	2x3xkdu	0	81821033-444	6	1	1	1	5
s445	2x3xkr4	0	81821033-445	6	1	1	2	0
s446	2x3xkr4db	0	81821033-446	6	1	1	2	1
s447	2x3xkr4di	0	81821033-447	6	1	1	2	2
s448	2x3xkr4da	0	81821033-448	6	1	1	2	3
s449	2x3xkr4de	0	81821033-449	6	1	1	2	4
s450	2x3xkr4du	0	81821033-450	6	1	1	2	5
s451	2x3xkm2	0	81821033-451	6	1	1	3	0
s452	2x3xkm2db	0	81821033-452	6	1	1	3	1
s453	2x3xkm2di	0	81821033-453	6	1	1	3	2
s454	2x3xkm2da	0	81821033-454	6	1	1	3	3
s455	2x3xkm2de	0	81821033-455	6	1	1	3	4
s456	2x3xkm2du	0	81821033-456	6	1	1	3	5
s457	2x3xkmd2	0	81821033-457	6	1	1	4	0
s458	2x3xkmd2db	0	81821033-458	6	1	1	4	1
s459	2x3xkmd2di	0	81821033-459	6	1	1	4	2
s460	2x3xkmd2da	0	81821033-460	6	1	1	4	3
s461	2x3xkmd2de	0	81821033-461	6	1	1	4	4
s462	2x3xkmd2du	0	81821033-462	6	1	1	4	5
s463	2x3xkm4	0	81821033-463	6	1	1	5	0
s464	2x3xkm4db	0	81821033-464	6	1	1	5	1
s465	2x3xkm4di	0	81821033-465	6	1	1	5	2
s466	2x3xkm4da	0	81821033-466	6	1	1	5	3
s467	2x3xkm4de	0	81821033-467	6	1	1	5	4
s468	2x3xkm4du	0	81821033-468	6	1	1	5	5
s469	2x3xkmd4	0	81821033-469	6	1	1	6	0
s470	2x3xkmd4db	0	81821033-470	6	1	1	6	1
s471	2x3xkmd4di	0	81821033-471	6	1	1	6	2
