k334	4jr2	cr-4-r2-134	ok	0.000	0.000	8	4j
k335	4jr2	cr-4-r2-135	ok	0.000	0.000	4	4j
k336	4jr2	cr-4-r2-136	ok	0.000	0.000	4	4j
k337	4jr2	cr-4-r2-137	ok	0.000	0.000	4	4j
k338	4jr2	cr-4-r2-138	ok	0.000	0.000	4	4j
k339	4jr2	cr-4-r2-139	ok	0.000	0.000	4	4j
k340	4jr2	cr-4-r2-140	ok	0.000	0.000	4	4j
k341	4jr2	cr-4-r2-141	ok	0.000	0.000	4	4j
k342	4jr2	cr-4-r2-142	ok	0.000	0.000	4	4j
k343	4jr2	cr-4-r2-143	ok	0.000	0.000	4	4j
k344	4jr2	cr-4-r2-144	ok	0.000	0.000	4	4j
k345	4jr2	cr-4-r2-145	ok	0.000	0.000	4	4j
k346	4jr2	cr-4-r2-146	ok	0.000	0.000	4	4j
k347	4jr2	cr-4-r2-147	ok	0.000	0.000	4	4j
k348	4jr2	cr-4-r2-148	ok	0.000	0.000	4	4j
k349	4jr2	cr-4-r2-149	ok	0.000	0.000	6	4j
k350	4jr2	cr-4-r2-150	ok	0.000	0.000	4	4j
k351	4jr2	cr-4-r2-151	ok	0.000	0.000	4	4j
k352	4jr2	cr-4-r2-152	ok	0.000	0.000	4	4j
k353	4jr2	cr-4-r2-153	ok	0.000	0.000	4	4j
k354	4jr2	cr-4-r2-154	ok	0.000	0.000	4	4j
k355	4jr2	cr-4-r2-155	ok	0.000	0.000	6	4j
k356	4jr2	cr-4-r2-156	ok	0.000	0.000	4	4j
k357	4jr2	cr-4-r2-157	ok	0.000	0.000	8	4j
k358	4jr2	cr-4-r2-158	ok	0.000	0.000	8	4j
k359	4jr2	cr-4-r2-159	ok	0.000	0.000	4	4j
k360	4jr2	cr-4-r2-160	ok	0.000	0.000	8	4j
k361	4jr2	cr-4-r2-161	ok	0.000	0.000	4	4j
k362	4jr2	cr-4-r2-162	ok	0.000	0.000	6	4j
k363	4jr2	cr-4-r2-163	ok	0.000	0.000	4	4j
k364	4jr2	cr-4-r2-164	ok	0.000	0.000	4	4j
k365	4jr2	cr-4-r2-165	ok	0.000	0.000	6	4j
k366	4jr2	cr-4-r2-166	ok	0.000	0.000	4	4j
k367	4jr2	cr-4-r2-167	ok	0.000	0.000	4	4j
k368	4jr2	cr-4-r2-168	ok	0.000	0.000	4	4j
k369	4jr2	cr-4-r2-169	ok	0.000	0.000	4	4j
k370	4jr2	cr-4-r2-170	ok	0.000	0.000	4	4j
k371	4jr2	cr-4-r2-171	ok	0.000	0.000	4	4j
k372	4jr2	cr-4-r2-172	ok	0.000	0.000	8	4j
k373	4jr2	cr-4-r2-173	ok	0.000	0.000	6	4j
k374	4jr2	cr-4-r2-174	ok	0.000	0.000	4	4j
k375	4jr2	cr-4-r2-175	ok	0.000	0.000	4	4j
k376	4jr2	cr-4-r2-176	ok	0.000	0.000	6	4j
k377	4jr2	cr-4-r2-177	ok	0.000	0.000	4	4j
k378	4jr2	cr-4-r2-178	ok	0.000	0.000	4	4j
k379	4jr2	cr-4-r2-179	ok	0.000	0.000	6	4j
k380	4jr2	cr-4-r2-180	ok	0.000	0.000	4	4j
k381	4jr2	cr-4-r2-181	ok	0.000	0.000	4	4j
k382	4jr2	cr-4-r2-182	ok	0.000	0.000	4	4j
k383	4jr2	cr-4-r2-183	ok	0.000	0.000	4	4j
k384	4jr2	cr-4-r2-184	ok	0.000	0.000	4	4j
k385	4jr2	cr-4-r2-185	ok	0.000	0.000	4	4j
k386	4jr2	cr-4-r2-186	ok	0.000	0.000	4	4j
k387	4jr2	cr-4-r2-187	ok	0.000	0.000	4	4j
k388	4jr2	cr-4-r2-188	ok	0.000	0.000	6	4j
k389	4jr2	cr-4-r2-189	ok	0.000	0.000	4	4j
k390	4jr2	cr-4-r2-190	ok	0.000	0.000	4	4j
k391	4jr2	cr-4-r2-191	ok	0.000	0.000	4	4j
k392	4jr2	cr-4-r2-192	ok	0.000	0.000	4	4j
k393	4jr2	cr-4-r2-193	ok	0.000	0.000	6	4j
k394	4jr2	cr-4-r2-194	ok	0.000	0.000	6	4j
k395	4jr2	cr-4-r2-195	ok	0.000	0.000	4	4j
k396	4jr2	cr-4-r2-196	ok	0.000	0.000	4	4j
k397	4jr2	cr-4-r2-197	ok	0.000	0.000	6	4j
k398	4jr2	cr-4-r2-198	ok	0.000	0.000	4	4j
k399	4jr2	cr-4-r2-199	ok	0.000	0.000	4	4j
k400	4jr2	cr-4-r2-200	ok	0.000	0.000	4	4j
k401	4jr4	cr-4-r4-1	ok	0.000	0.000	8	4jr4
k402	4jr4	cr-4-r4-2	ok	0.000	0.000	4	4jr4
k403	4jr4	cr-4-r4-3	ok	0.000	0.000	4	4jr4
k404	4jr4	cr-4-r4-4	ok	0.000	0.000	4	4jr4
k405	4jr4	cr-4-r4-5	ok	0.000	0.000	4	4jr4
k406	4jr4	cr-4-r4-6	ok	0.000	0.000	4	4jr4
k407	4jr4	cr-4-r4-7	ok	0.000	0.000	4	4jr4
k408	4jr4	cr-4-r4-8	ok	0.000	0.000	4	4jr4
k409	4jr4	cr-4-r4-9	ok	0.000	0.000	4	4jr4
k410	4jr4	cr-4-r4-10	ok	0.000	0.000	4	4jr4
k411	4jr4	cr-4-r4-11	ok	0.000	0.000	4	4jr4
k412	4jr4	cr-4-r4-12	ok	0.000	0.000	4	4jr4
k413	4jr4	cr-4-r4-13	ok	0.000	0.000	4	4jr4
k414	4jr4	cr-4-r4-14	ok	0.000	0.000	4	4jr4
k415	4jr4	cr-4-r4-15	ok	0.000	0.000	8	4jr4
k416	4jr4	cr-4-r4-16	ok	0.000	0.000	8	4jr4
